id,estado,municipio,cod_inegi_municipio,localidad,cod_inegi_localidad
232,BAJA CALIFORNIA,ENSENADA,002001,,
233,BAJA CALIFORNIA,ENSENADA,002001,,
234,BAJA CALIFORNIA,ENSENADA,002001,,
235,BAJA CALIFORNIA,ENSENADA,002001,,
236,BAJA CALIFORNIA,ENSENADA,002001,,
237,BAJA CALIFORNIA,ENSENADA,002001,,
238,BAJA CALIFORNIA,ENSENADA,002001,,
239,BAJA CALIFORNIA,ENSENADA,002001,,
240,BAJA CALIFORNIA,ENSENADA,002001,,
241,BAJA CALIFORNIA,ENSENADA,002001,,
242,BAJA CALIFORNIA,ENSENADA,002001,,
243,BAJA CALIFORNIA,ENSENADA,002001,,
244,BAJA CALIFORNIA,ENSENADA,002001,,
245,BAJA CALIFORNIA,ENSENADA,002001,,
246,BAJA CALIFORNIA,ENSENADA,002001,,
247,BAJA CALIFORNIA,ENSENADA,002001,,
248,BAJA CALIFORNIA,ENSENADA,002001,,
249,BAJA CALIFORNIA,ENSENADA,002001,,
250,BAJA CALIFORNIA,ENSENADA,002001,,
251,BAJA CALIFORNIA,ENSENADA,002001,,
252,BAJA CALIFORNIA,ENSENADA,002001,,
253,BAJA CALIFORNIA,ENSENADA,002001,,
254,BAJA CALIFORNIA,ENSENADA,002001,,
255,BAJA CALIFORNIA,ENSENADA,002001,,
256,BAJA CALIFORNIA,ENSENADA,002001,,
257,BAJA CALIFORNIA,ENSENADA,002001,,
258,BAJA CALIFORNIA,ENSENADA,002001,,
259,BAJA CALIFORNIA,ENSENADA,002001,,
260,BAJA CALIFORNIA,ENSENADA,002001,,
261,BAJA CALIFORNIA,ENSENADA,002001,,
262,BAJA CALIFORNIA,ENSENADA,002001,,
263,BAJA CALIFORNIA,ENSENADA,002001,,
264,BAJA CALIFORNIA,ENSENADA,002001,,
265,BAJA CALIFORNIA,ENSENADA,002001,,
266,BAJA CALIFORNIA,ENSENADA,002001,,
267,BAJA CALIFORNIA,ENSENADA,002001,,
268,BAJA CALIFORNIA,ENSENADA,002001,,
269,BAJA CALIFORNIA,ENSENADA,002001,,
270,BAJA CALIFORNIA,ENSENADA,002001,,
271,BAJA CALIFORNIA,ENSENADA,002001,,
272,BAJA CALIFORNIA,ENSENADA,002001,,
273,BAJA CALIFORNIA,ENSENADA,002001,,
274,BAJA CALIFORNIA,ENSENADA,002001,,
275,BAJA CALIFORNIA,ENSENADA,002001,,
276,BAJA CALIFORNIA,ENSENADA,002001,,
277,BAJA CALIFORNIA,ENSENADA,002001,,
278,BAJA CALIFORNIA,ENSENADA,002001,,
279,BAJA CALIFORNIA,ENSENADA,002001,,
280,BAJA CALIFORNIA,ENSENADA,002001,,
281,BAJA CALIFORNIA,ENSENADA,002001,,
282,BAJA CALIFORNIA,ENSENADA,002001,,
283,BAJA CALIFORNIA,ENSENADA,002001,,
284,BAJA CALIFORNIA,ENSENADA,002001,,
285,BAJA CALIFORNIA,ENSENADA,002001,,
286,BAJA CALIFORNIA,ENSENADA,002001,,
287,BAJA CALIFORNIA,ENSENADA,002001,,
288,BAJA CALIFORNIA,ENSENADA,002001,,
289,BAJA CALIFORNIA,ENSENADA,002001,,
290,BAJA CALIFORNIA,ENSENADA,002001,,
291,BAJA CALIFORNIA,ENSENADA,002001,,
292,BAJA CALIFORNIA,ENSENADA,002001,,
293,BAJA CALIFORNIA,ENSENADA,002001,,
294,BAJA CALIFORNIA,ENSENADA,002001,,
295,BAJA CALIFORNIA,ENSENADA,002001,,
296,BAJA CALIFORNIA,ENSENADA,002001,,
297,BAJA CALIFORNIA,ENSENADA,002001,,
298,BAJA CALIFORNIA,ENSENADA,002001,,
299,BAJA CALIFORNIA,ENSENADA,002001,,
300,BAJA CALIFORNIA,ENSENADA,002001,,
301,BAJA CALIFORNIA,ENSENADA,002001,,
302,BAJA CALIFORNIA,ENSENADA,002001,,
303,BAJA CALIFORNIA,ENSENADA,002001,,
304,BAJA CALIFORNIA,ENSENADA,002001,,
305,BAJA CALIFORNIA,ENSENADA,002001,,
306,BAJA CALIFORNIA,ENSENADA,002001,,
307,BAJA CALIFORNIA,ENSENADA,002001,,
308,BAJA CALIFORNIA,ENSENADA,002001,,
309,BAJA CALIFORNIA,ENSENADA,002001,,
310,BAJA CALIFORNIA,ENSENADA,002001,,
311,BAJA CALIFORNIA,ENSENADA,002001,,
312,BAJA CALIFORNIA,ENSENADA,002001,,
313,BAJA CALIFORNIA,ENSENADA,002001,,
314,BAJA CALIFORNIA,ENSENADA,002001,,
315,BAJA CALIFORNIA,ENSENADA,002001,,
316,BAJA CALIFORNIA,ENSENADA,002001,,
317,BAJA CALIFORNIA,ENSENADA,002001,,
318,BAJA CALIFORNIA,ENSENADA,002001,,
319,BAJA CALIFORNIA,ENSENADA,002001,,
320,BAJA CALIFORNIA,ENSENADA,002001,,
321,BAJA CALIFORNIA,ENSENADA,002001,,
322,BAJA CALIFORNIA,ENSENADA,002001,,
