41,SONORA,HUATABAMPO,,2609002320,"S.C.P.P. RUPERTO VELAZQUEZ GASTELUM, S.C. DE R.L.",JAIBA,AGIABAMPO AL SIARI,2010-08-30,2014-08-29,26.8271492,-109.6418609
43,SONORA,HUATABAMPO,YAVAROS (ISLAS LA VIEJAS,2609001744,"S.C.P.P. ZIHUATLECOS, SC. DE RL.",CAMARON DE ESTERO,AGIABAMPO AL SIARIC,2012-06-29,2014-06-28,26.7048374,-109.51555
44,SONORA,HUATABAMPO,HUATABAMPO,2609001173,"S.C.P.P. Y A. PESCADORES DE HUATABAMPO, SCL.",JAIBA,AGIABAMPO AL SIARIC,2012-04-04,2014-04-03,26.8271492,-109.6418609
45,SONORA,HUATABAMPO,HUATABAMPO,2609002031,"S.C.P.P. SERVANDO MOROYOQUI SAINZ, SC. DE RL.",JAIBA,AGIABAMPO AL SIARIC,2011-12-02,2015-12-01,26.8271492,-109.6418609
46,SONORA,HUATABAMPO,HUATABAMPO,2609001173,"S.C.P.P. Y A. PESCADORES DE HUATABAMPO, SCL.",LISA,AGIABAMPO AL SIARIC,2012-04-04,2014-04-03,26.8271492,-109.6418609
47,SONORA,HUATABAMPO,HUATABAMPO,2609001173,"S.C.P.P. Y A. PESCADORES DE HUATABAMPO, SCL.",ESCAMA,AGIABAMPO AL SIARIC,2012-04-04,2014-04-03,26.8271492,-109.6418609
48,SONORA,HUATABAMPO,YAVAROS,2609001744,"S.C.P.P. ZIHUATLECOS, SC. DE RL.",TIBURON,AGIABAMPO AL SIARIC,2012-01-20,2014-01-19,26.8377513,-109.644919
49,SONORA,HUATABAMPO,YAVAROS (ISLAS LAS VIEJAS),2609001744,"S.C.P.P. ZIHUATLECOS, SC. DE RL.",ESCAMA,AGIABAMPO AL SIARIC,2012-06-29,2014-06-28,26.7048374,-109.51555
50,SONORA,HUATABAMPO,YAVAROS,2609000183,"S.C.P.P. ""REIVINDICACION"" SCL",JAIBA,AGIABAMPO AL SIARIC,2012-01-20,2014-01-19,26.7048374,-109.51555
51,SONORA,HUATABAMPO,HUATABAMPO,2609014416,"S.C.P.P. ""PESCADORES DE CEVASCO"" SCL",CAMARON DE ESTERO,AGIABAMPO AL SIARIC,2012-04-23,2014-04-22,26.8271492,-109.6418609
52,SONORA,HUATABAMPO,MORONCARIT,2609001165,"S.C.P.P. ""MEDANOS BLANCOS"" SCL",ESCAMA,AGIABAMPO AL SIARIC,2012-01-05,2014-01-04,26.7347104,-109.6126139
53,SONORA,HUATABAMPO,HUATABAMPO,2609003369,"S.C.P.P. ""LA NUEVA OPCION"" SC DE RL",CAMARON DE ESTERO,AGIABAMPO AL SIARIC,2012-06-29,2014-06-28,26.8271492,-109.6418609
