Localidades Rurales Amanzanadas que rebasan su Ageb,,,,,,,
,,,,,,,
Clave Entidad,Clave Municipio,Clave Localidad,Clave Ageb,Nombre Geográfico,,,
07,054,0040,005-6,El Triunfo I (Santa Cruz),,,
07,054,0134,003-7,Vicente Guerrero,,,
07,055,0004,001-5,Candelaria,,,
07,055,0005,001-5,Los Hules,,,
07,057,0005,006-2,Nueva Independencia (Ampliación Calera),,,
07,057,0480,006-2,Lubeca,,,
07,059,0012,012-2,Arroyo Granizo,,,
07,059,0031,042-3,Santa María de las Flores,,,
07,059,0054,030-0,La Culebra,,,
07,059,0204,090-2,San Quintín,,,
07,059,0326,052-7,Tierra Blanca,,,
07,059,0395,001-4,Jol Tulijá,,,
07,059,0605,013-7,Nuevo Francisco León,,,
07,059,0672,005-2,Nuevo Ojo de Agua,,,
07,059,1041,051-2,Nupja Chiviltic,,,
07,061,0630,007-A,Francisco I. Madero,,,
07,061,0655,019-2,Ojo de Agua,,,
07,061,0656,021-A,San José,,,
07,061,1786,017-3,Nuevo Gavilán,,,
07,062,0032,003-9,Catedral 1ra. Sección,,,
07,063,0008,001-7,Libertad Campesina,,,
07,065,0064,022-3,Lindavista (Chiniquija),,,
07,065,0076,028-0,Nueva Betania,,,
07,065,0211,031-2,Augusto Gómez Villanueva,,,
07,065,1230,030-8,Arroyo Jerusalén,,,
07,065,1375,030-8,Alfredo V. Bonfil,,,
07,068,0099,007-0,Los Cascabeles,,,
07,069,0024,011-4,Joaquín Miguel Gutiérrez (Margaritas),,,
07,069,0025,014-8,Los Limones,,,
07,069,0186,004-4,Benito Juárez,,,
07,069,0468,012-9,El Vergel,,,
07,069,1641,004-4,Isla San José,,,
07,069,1834,011-4,Unidad Puente de las Margaritas (Loma Bonita),,,
07,069,1837,006-3,Nuevo Milenio Santa Cruz la Central,,,
07,071,0008,003-8,Cantón las Brisas,,,
07,071,0022,004-2,Hidalgo,,,
07,071,0032,003-8,Cantón el Progreso,,,
07,071,0059,004-2,El Escobo,,,
07,071,0221,003-8,Altamira Uno,,,
07,071,0231,003-8,San Miguel,,,
07,073,0007,002-8,Manzanillo Pinabeto,,,
07,074,0012,001-0,Macayo 1ra. Sección (Las Mercedes),,,
07,074,0014,001-0,Macayo 3ra. Sección,,,
07,074,0016,002-5,Miguel Hidalgo,,,
07,075,0045,006-0,Zacualpa,,,
07,075,0060,006-0,El Chipilinar,,,
07,075,0067,006-0,San Antonio el Paraje,,,
07,075,0104,004-1,Cruz Morales,,,
07,075,0107,004-1,Nuevo Tepeyac,,,
07,077,0094,013-5,El Tortuguero 1ra. Sección,,,
07,077,0264,008-4,Nueva Preciosa (Bulujib),,,
07,077,0516,008-4,Primero de Enero,,,
07,078,0036,011-3,La Sierra,,,
07,078,0039,011-3,Yashitinín,,,
07,078,0077,011-3,Guadalupe Shuncalá,,,
07,078,0121,011-3,Buenavista,,,
07,078,0157,012-8,Campo Grande,,,
07,079,0043,004-0,El Progreso,,,
07,079,0102,003-6,Tankah Pakbal,,,
07,080,0010,001-8,Las Delicias,,,
07,081,0093,005-3,Las Mercedes Esperanza,,,
07,083,0050,003-9,Nuevo Tamaulipas,,,
07,083,0129,002-4,El Sabinal,,,
07,083,0191,008-1,Miramar,,,
07,087,0023,002-3,General Manuel Ávila Camacho,,,
07,089,0094,025-9,Hermosillo,,,
07,089,0179,028-2,San Nicolás Lagartero,,,
07,089,0203,029-7,Los Toros (Estación),,,
07,089,0215,024-4,Cantón Victoria,,,
07,089,0259,028-2,Isleven,,,
07,089,0490,025-9,Lomas de Esmeralda,,,
07,089,0688,022-5,Vega de los Molinos,,,
07,092,0664,005-7,San Marcos,,,
07,094,0011,002-8,Flores Magón,,,
07,094,0011,002-8,Flores Magón,,,
07,094,0013,004-7,Los Llanitos,,,
07,094,0016,004-7,Nuevo León,,,
07,094,0134,003-2,Benito Juárez,,,
07,094,0158,004-7,San José Ocotal,,,
07,094,0170,004-7,Tierra Colorada,,,
07,097,0071,012-3,General Lázaro Cárdenas (Vuelta Rica),,,
07,097,1467,013-8,La Polkita,,,
07,097,1526,012-3,Santa Rosa las Limas II,,,
07,099,0221,003-9,San Caralampio Monte Pálido,,,
07,099,0239,003-9,San Juan del Valle,,,
07,099,0472,009-6,José Castillo Tiélemans,,,
07,099,0683,022-1,Juan Sabines Gutiérrez,,,
07,099,1018,024-0,Álvaro Obregón,,,
07,099,1044,009-6,Nuevo Paraíso,,,
07,100,0063,004-6,Arroyo Agua Azul,,,
07,102,0003,002-1,Silvano Gatica,,,
07,102,0008,002-1,2da. Sección de Izapa,,,
07,102,0014,003-6,Omoha,,,
07,102,0025,002-1,1ra. Sección de Cahoa,,,
07,103,0015,001-4,Nueva Tenochtitlán,,,
07,103,0028,001-4,El Tarral,,,
07,103,0047,002-9,Cantón Vega de Tepuzapa,,,
07,104,0058,004-5,Francisco Villa,,,
07,104,0088,004-5,Doctor Manuel Velasco Suárez,,,
07,104,0110,002-6,Nueva Libertad,,,
07,106,0169,007-3,Belisario Domínguez,,,
07,106,0895,011-A,Fraccionamiento Trinidad Oquil,,,
07,107,1371,025-9,Nuevo Mitontic (El Cimarrón),,,
07,108,0328,022-2,Úrsulo Galván,,,
07,108,0346,017-1,Josefa Ortiz de Domínguez,,,
07,108,2321,023-7,Nueva Esperanza,,,
07,109,0030,003-7,Lázaro Cárdenas,,,
07,109,0233,003-7,El Recreo,,,
07,110,0012,002-3,Laguna del Carmen,,,
07,111,0026,002-0,Jechtoch,,,
07,111,0030,002-0,Chajtoj,,,
07,114,0058,007-5,Boca Lacantún,,,
07,115,0026,005-3,Nuevo Rodulfo Figueroa,,,
07,115,0035,004-9,Plan Santo Domingo,,,
07,116,0003,010-1,Licenciado Adolfo López Mateos,,,
07,116,0013,007-A,Nuevo Paraíso,,,
07,116,0015,011-6,Playón la Gloria,,,
07,116,0017,004-6,Quiringuicharo,,,
07,116,0018,009-9,Reforma Agraria,,,
07,117,0023,005-8,Laguna del Cofre,,,
08,001,0351,223-1,Villa Ahumada y Anexas,,,
08,003,0191,032-9,Ejido las Auras,,,
08,004,0004,012-9,San Guillermo (Santa Elena),,,
08,006,0011,016-1,Francisco I. Madero,,,
08,006,0014,019-5,El Porvenir,,,
08,007,0223,091-5,Puerto Tres Hermanos,,,
08,010,0111,118-1,Primero de Mayo (San Francisco),,,
08,011,0092,263-2,Maravillas,,,
08,011,0138,268-5,Rancho Viejo,,,
08,012,0025,050-6,Ranchería Guahuachérare,,,
08,017,0004,133-7,Allende,,,
08,017,0017,150-0,Campo 2A,,,
08,017,0018,146-4,Campo 2B,,,
08,017,0020,146-4,Campo 3B,,,
08,017,0050,146-4,Campo 22,,,
08,017,0144,135-6,Colonia Vianna,,,
08,017,0158,145-A,Campo 6 1/2 A,,,
08,017,0281,150-0,Campo 22 1/2,,,
08,017,0478,150-0,Kilómetro 7 Corredor Comercial Manitoba,,,
08,017,0641,145-A,Kilómetro 16 Corredor Comercial Manitoba,,,
08,018,0051,019-6,Colonia México (La Lagunita),,,
08,018,0069,028-5,San Bernabé,,,
08,019,0279,440-6,Nuevo Majalca,,,
08,019,0329,422-8,Estación Ojo Laguna,,,
08,020,0450,039-1,Guasachi,,,
08,021,0108,081-0,Colonia Nicolás Bravo (Kilómetro Noventa y Dos),,,
08,021,0371,079-3,Colonia Terrazas,,,
08,026,0017,004-1,El Nogalito,,,
08,031,0061,089-3,Loya,,,
08,036,0075,170-3,Ejido Lote Ocho (Lugo),,,
08,038,0012,057-4,Colonia Esperanza,,,
08,042,0107,074-0,Nuevo Lajitas,,,
08,045,0007,034-8,Estación Consuelo,,,
08,048,0044,089-0,Nuevo Namiquipa,,,
08,051,0152,023-7,Entronque las Estrellas,,,
08,054,0022,032-8,Campo Cincuenta y Cinco (La Cordovana),,,
08,054,0047,027-7,Campo Ochenta y Cuatro,,,
08,054,0097,033-2,Campo Treinta y Ocho y Medio,,,
08,054,0178,027-7,La Nueva Paz,,,
08,062,0003,056-5,Las Alvareñas,,,
08,062,0004,056-5,Ancón de Carros,,,
08,062,0009,053-1,La Cuadra,,,
08,062,0015,053-1,El Indio,,,
08,062,0350,056-5,Ampliación Colonia Altamirano,,,
08,066,0233,034-8,Las Trojas,,,
08,067,0009,057-6,El Campamento,,,
10,001,0049,080-0,Francisco Zarco (Las Delicias),,,
10,001,0100,084-9,La Plazuela (El Rayo),,,
10,001,0104,075-A,El Progreso (Los Pinos),,,
10,001,0127,075-A,La Soledad,,,
10,005,0138,327-4,Belisario Domínguez,,,
10,005,0149,315-1,Cinco de Febrero,,,
10,005,0190,285-9,Ignacio Zaragoza,,,
10,005,0194,327-4,José Refugio Salcido,,,
10,005,0197,291-4,Juan B. Ceballos,,,
10,005,0211,335-9,Minerva (Colonia),,,
10,005,0222,307-7,Nueva Patria (Santo Domingo),,,
10,006,0006,042-1,La Granja,,,
10,006,0016,028-1,San Luis de Corea,,,
10,007,0302,105-6,El Barro 33 (El Treinta y Tres),,,
10,008,0004,044-5,Felipe Carrillo Puerto (Tarabillas),,,
10,010,0044,083-3,La Zarca,,,
10,012,0026,079-1,La Mina (El Sarnoso),,,
10,012,0193,090-8,Nazareno de Abajo,,,
10,012,0560,083-8,Dolores (La Borrega),,,
10,012,0561,083-8,La Goleta,,,
10,012,0606,083-8,Fortuna de Rancho Güero,,,
10,013,0177,115-7,Estación Yermo,,,
10,014,0005,090-2,La Joya de Atotonilco (Atotonilco),,,
10,014,0042,092-1,El Troncón,,,
10,014,0107,101-2,Sombrero Quemado,,,
10,015,0019,035-0,Paso Nacional,,,
10,015,0028,035-0,Santa Teresa de la Uña,,,
10,016,0047,025-4,Revolución Social,,,
10,017,0028,061-8,Ojos Azules (Campo Alegre),,,
10,017,0064,057-1,Torreón de Cañas,,,
10,019,0135,013-3,Macho Bayo,,,
10,019,0173,020-3,Bajío de Vacas (Bajío de Atocha),,,
10,021,0015,022-0,Ignacio Zaragoza (San Pablo),,,
10,021,0032,030-5,Yerbanís,,,
10,022,0003,024-7,Los Ángeles,,,
10,022,0009,028-5,La Joya,,,
10,023,0545,093-5,La Campana [De San Jerónimo],,,
10,025,0014,039-5,Cinco de Julio,,,
10,028,0017,027-4,Pueblo Nuevo Francisco de Ibarra (El Crucero),,,
10,028,0022,023-6,José María Patoni (Menores de Arriba),,,
10,032,0014,087-9,Atotonilco,,,
10,032,0018,029-6,Lozano Zavala (La Campana),,,
10,032,0044,029-6,El Encinal,,,
10,036,0009,078-9,Banco Nacional,,,
10,037,0110,038-1,Los de Diarte,,,
10,038,0009,013-9,San José de las Corrientes,,,
10,038,0012,014-3,Estación Vicente Guerrero,,,
10,039,0013,011-7,Valle de Flores (Cantarranas),,,
10,039,0020,014-0,Esfuerzos Unidos,,,
10,039,0022,012-1,Fuente del Llano (Santiaguillo),,,
10,039,0027,011-7,Jardín de Flores,,,
10,039,0043,010-2,Patio de Flores,,,
10,039,0064,010-2,Lugar de Rosas (El Toboso),,,
