Localidades  Isla (Localidades ubicadas en un municipio y que administrativamente pertenecen a otro),,,,,,,,
,,,,,,,,
PERTENENCIA ADMINISTRATIVA,,,,,UBICACIÓN ESPACIAL,,,
CLAVE ENTIDAD,CLAVE MUNICIPIO,CLAVE LOCALIDAD,CLAVE AGEB,NOMBRE DE LOCALIDAD,CLAVE ENTIDAD,CLAVE MUNICIPIO,NOMBRE MUNICIPIO,
12,049,0048,016-5,La Poza (El Puente),12,055,Taxco de Alarcón,
12,050,0011,019-A,Placeritos,12,027,Cutzamala de Pinzón,
12,052,0095,038-7,El Manguito,12,009,Atlamajalcingo del Monte,
12,052,0096,038-7,Mixtecapa,12,009,Atlamajalcingo del Monte,
12,052,0106,038-7,Barrio de Guadalupe,12,009,Atlamajalcingo del Monte,
12,052,0107,038-7,Cruz Alta,12,009,Atlamajalcingo del Monte,
12,052,0108,038-7,Llano de Maguey,12,009,Atlamajalcingo del Monte,
12,052,0115,037-2,Tierra Colorada,12,009,Atlamajalcingo del Monte,
12,052,0117,038-7,Pie de Tierra Blanca (Tierra Blanca),12,009,Atlamajalcingo del Monte,
12,052,0134,038-7,Altepec,12,009,Atlamajalcingo del Monte,
12,052,0156,038-7,El Mirasol,12,009,Atlamajalcingo del Monte,
12,054,0094,032-4,Piedras Grandes,12,032,General Heliodoro Castillo,
12,054,0315,029-2,El Crucero del Remance,12,003,Ajuchitlán del Progreso,
12,054,0340,032-4,Las Trancas,12,032,General Heliodoro Castillo,
12,054,0372,030-5,La Monera,12,007,Arcelia,
12,055,0078,034-0,Los Naranjos,12,037,Ixcateopan de Cuauhtémoc,
12,055,0135,034-0,El Ancón,12,037,Ixcateopan de Cuauhtémoc,
12,055,0147,040-6,La Güera,12,015,Buenavista de Cuéllar,
12,055,0203,035-5,San Francisco,12,060,Tetipac,
12,055,0204,036-A,El Huixteco,12,060,Tetipac,
12,056,0052,025-9,El Zanate,12,012,Ayutla de los Libres,
12,057,0530,056-1,San Isidro el Venado,12,048,Petatlán,
12,057,0538,056-1,El Nogal,12,048,Petatlán,
12,057,0597,075-4,El Mirador,12,048,Petatlán,
12,058,0142,038-0,Puerto del Ocote,12,031,General Canuto A. Neri,
12,058,0232,046-5,La Cañada del Durazno,12,006,Apaxtla,
12,058,0237,040-8,Puerto del Timón,12,007,Arcelia,
12,058,0264,041-2,Primera Cerca,12,031,General Canuto A. Neri,
12,058,0297,041-2,Miahuatepec,12,007,Arcelia,
12,058,0324,038-0,Nueva Esperanza,12,031,General Canuto A. Neri,
12,059,0098,031-6,Tequitlalpan,12,034,Huitzuco de los Figueroa,
12,059,0099,031-6,Tepozonalco,12,034,Huitzuco de los Figueroa,
12,060,0034,016-2,Bordo Mora,12,049,Pilcaya,
12,061,0040,022-5,Chalico (Rancho Chalico),12,029,Chilpancingo de los Bravo,
12,062,0064,028-A,El Aguacate (Camino a Xochistlahuaca),12,046,Ometepec,
12,062,0080,025-6,Barrio de Hoja Dura (Arroyo Chimalapa),12,043,Metlatónoc,
12,062,0081,025-6,Arroyo Faisán,12,043,Metlatónoc,
12,062,0100,025-6,Piedra Blanca,12,043,Metlatónoc,
12,062,0128,028-A,El Mesón,12,046,Ometepec,
12,063,0050,016-4,La Magueyera,12,041,Malinaltepec,
